lien_image;fr;en;
images/lion.jpeg;lion;lion;
images/tigre.jpeg;tigre;tiger;
images/voiture.png;voiture;car;
images/gratte_ciel.jpeg;gratte_ciel;skyscraper;
images/arbre.jpeg;arbre;tree;
images/pelle.jpeg;pelle;shovel;
images/ecran.jpeg;écran;screen;
images/clavier.jpeg;clavier;keyboard;
images/ecouteurs.jpeg;écouteurs;earphones;
images/chien.jpeg;chien;dog;
images/ornithorynque.jpeg;ornithorynque;platypus;
images/cadenas.jpeg;cadenas;padlock;
images/chaise.jpeg;chaise;chair;
images/carte.jpg;carte;map;
images/manivelle.jpeg;manivelle;crank;
images/oiseau.jpeg;oiseau;bird;
images/verre.jpeg;verre;glass;
images/vache.jpeg;vache;cow;
images/lapin.jpeg;lapin;bunny;
images/huitre.jpeg;huîtres;oysters;
images/baleine.png;baleine;whale;
images/amandes.png;amandes;almonds;
images/grillage.jpg;grillage;fence;
images/guitare.jpg;guitare;guitar;
images/tracteur.jpg;tracteur;tractor;
images/lettres.jpg;lettres;letters;
images/cerises.jpg;cerises;cherries;
images/crevettes.jpg;crevettes;shrimps;
images/riz.jpg;riz;rice;
images/moules.jpg;moules;mussels;
images/ananas.jpg;ananas;pineapple;
images/grenade.jpg;grenade;pomegranate;
images/lait.jpg;lait;milk;
images/oeufs.jpg;oeufs;eggs;
images/saumon.jpg;saumon;salmon;
images/koala.jpg;koala;koala;
images/cygne.jpg;cygne;swan;
images/paresseux.jpg;paresseux;sloth;
images/paon.jpg;paon;peafowl;
images/poule.jpg;poule;chicken;
images/crocodile.jpg;crocodile;crocodile;
images/loup.jpg;loup;wolf;
images/fourmi.jpg;fourmi;ant;
images/cochonDinde.jpg;cochon_d'inde;guinea_pig;
images/requin.jpg;requin;shark;
images/panda.jpg;panda;panda;
images/dauphin.jpg;dauphin;dolphin;
images/colombe.jpg;colombe;dove;
images/faisan.jpg;faisan;pheasant;
images/jaguar.jpg;jaguar;jaguar;
images/livres.jpg;livres;books;
images/journal.jpg;journal;newspaper;
images/astronaute.jpg;astronaute;astronaut;
images/pompier.jpg;pompier;fireman;
images/chirurgien.jpg;chirurgien;surgeon;
images/dentiste.jpg;dentiste;dentist;
images/tgv.jpg;tgv;hst;
images/chameau.jpg;chameau;camel;
images/cheval.jpg;cheval;horse;
images/ciseaux.jpg;ciseaux;scissors;
images/trompette.jpg;trompette;trumpet;
images/parachute.jpg;parachute;parachute;
images/montagneRusse.jpg;montagne_russe;rollercoaster;
images/pont.jpg;pont;bridge;
images/araignee.jpg;araignée;spider;
images/barbeApapa.jpg;barbe_à_papa;cotton_candy;
images/pain.jpg;pain;bread;
images/canneApeche.jpg;canne_à_pêche;fishing_rod;
images/grue.jpg;grue;crane;
images/gateau.jpg;gâteau;cake;
images/citrons.jpg;citrons;lemons;
images/bananes.jpg;bananes;bananas;
images/poires.jpg;poires;pears;
images/noix.jpg;noix;walnuts;
images/argent.jpg;argent;money;
images/lingotsDor.jpg;lingots_d'or;gold_ingots;
images/couteau.jpg;couteau;knife;
images/piscine.jpg;piscine;swimming_pool;
images/sifflet.png;sifflet;whistle;
images/batterie.jpg;batterie;drums;
